Subject,Model,Test MSE,Test RMSE,Test MAE,Test R2
1,Random Forest,0.9499416267707093,0.9746494891860916,0.8080644264128173,0.05366314616348289
1,XGBoost,0.9875169227474637,0.9937388604394334,0.8192647144258762,0.01623043832700366
3,Random Forest,0.9519869768081205,0.9756981996540326,0.809962856911515,0.05380136421814352
3,XGBoost,0.9887251119038639,0.9943465753467772,0.8212382971896524,0.017286607025442602
4,Random Forest,0.9955621486025386,0.9977786070078565,0.802369772020289,0.017157108357327644
4,XGBoost,1.0310910800300082,1.0154265507805122,0.8138307245209958,-0.01791790704996199
5,Random Forest,0.940433029629687,0.9697592637503841,0.7614297027694915,0.05648042939532805
5,XGBoost,0.9728617832070733,0.9863375604766723,0.7746883661556752,0.02394524327726022
6,Random Forest,0.9623847130594562,0.9810120860924477,0.8182535965683243,0.02853296042865816
6,XGBoost,0.9966339814815396,0.9983155720920813,0.828908831747635,-0.006039529086176998
7,Random Forest,0.9479165018085439,0.9736100357990071,0.7950747675377122,0.043105445801081665
7,XGBoost,0.9931155889086967,0.9965518495837016,0.8113633563501906,-0.00252173783627474
8,Random Forest,0.9428601850416145,0.9710098789619056,0.8143396404765729,0.052593810139609065
8,XGBoost,0.9770603468224736,0.9884636294889527,0.8238047730205729,0.018228752117795843
11,Random Forest,0.9764171478436611,0.9881382230455722,0.8737760884709865,0.032235741391121175
11,XGBoost,1.0057223440244427,1.0028570905290757,0.877304766642488,0.003190244271458975
